From,To,Distance (m),Travel Time (1-10),Traffic Density
Sunrise Cityview - Sảnh A,Cà Phê Long Béo,1200.24,10,medium
Cà Phê Long Béo,Sunrise Cityview - Sảnh A,1200.24,10,high
British English Club,"78B đường số 43, khu phố 4",1201.27,10,high
"78B đường số 43, khu phố 4",British English Club,1201.27,10,high
Thiên Sơn Plaza,Katinat,1202.93,10,medium
Katinat,Thiên Sơn Plaza,1202.93,10,low
Cửa hàng Chuồn chuồn Đỏ,"1489 Nguyễn Văn Linh, Tòa IPC",1203.08,10,low
"1489 Nguyễn Văn Linh, Tòa IPC",Cửa hàng Chuồn chuồn Đỏ,1203.08,10,low
British English Club,"170A Lâm Văn Bền, KP4,",1203.15,10,low
"170A Lâm Văn Bền, KP4,",British English Club,1203.15,10,low
Cà Phê Long Béo,Hỷ Lạc Bánh Mì Chay,1204.28,10,low
Hỷ Lạc Bánh Mì Chay,Cà Phê Long Béo,1204.28,10,low
Circle K,"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",1204.33,10,low
"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",Circle K,1204.33,10,low
British English Club,Trường Quốc tế Nam Sài Gòn,1205.88,10,medium
Trường Quốc tế Nam Sài Gòn,British English Club,1205.88,10,low
"15-27-Block M2-Sảnh B, Jamona City, Đào Trí,",541 Huỳnh Tấn Phát,1206.89,10,medium
541 Huỳnh Tấn Phát,"15-27-Block M2-Sảnh B, Jamona City, Đào Trí,",1206.89,10,low
Nhà Mẫu Phú Mỹ Hưng,Quận 7,1207.5,10,low
Quận 7,Nhà Mẫu Phú Mỹ Hưng,1207.5,10,medium
Nhà Thuốc An Khang,Katinat Nguyễn Thị Thập,1208.05,10,low
Katinat Nguyễn Thị Thập,Nhà Thuốc An Khang,1208.05,10,high
Bệnh viện Quận 7,"Căn hộ 112, chung cư An Hoà 7, đường số 7,",1208.78,10,medium
"Căn hộ 112, chung cư An Hoà 7, đường số 7,",Bệnh viện Quận 7,1208.78,10,low
E50 Đường Số 9 Khu Dân Cư Him Lam,"20/10 đường số 2,",1209.38,10,high
"20/10 đường số 2,",E50 Đường Số 9 Khu Dân Cư Him Lam,1209.38,10,medium
Hỷ Lạc Bánh Mì Chay,Quán Ăn An Ký,1211.22,10,low
Quán Ăn An Ký,Hỷ Lạc Bánh Mì Chay,1211.22,10,low
Circle K,An Vegetarian,1212.58,10,low
An Vegetarian,Circle K,1212.58,10,high
Đại Lý Sơn Nuớc Trường Đạt,Nguyễn Văn Linh,1213.31,10,low
Nguyễn Văn Linh,Đại Lý Sơn Nuớc Trường Đạt,1213.31,10,medium
Thiên Sơn Plaza,"170A Lâm Văn Bền, KP4,",1213.92,10,low
"170A Lâm Văn Bền, KP4,",Thiên Sơn Plaza,1213.92,10,low
"Hẻm 43B/2  Võ Thị Nhờ, phường Tân Thuận Đông, Q7,",803/23/10 Huỳnh Tấn Phát,1214.52,10,medium
"36A, Đường 81,",Nguyễn Văn Linh,1214.52,10,low
803/23/10 Huỳnh Tấn Phát,"Hẻm 43B/2  Võ Thị Nhờ, phường Tân Thuận Đông, Q7,",1214.52,10,low
Nguyễn Văn Linh,"36A, Đường 81,",1214.52,10,low
"20/10 đường số 2,",Bệnh viện Tân Hưng,1215.68,10,low
Bệnh viện Tân Hưng,"20/10 đường số 2,",1215.68,10,low
Đại học Cảnh sát,"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",1216.92,10,low
"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",Đại học Cảnh sát,1216.92,10,medium
"36A, Đường 81,",Him Lam Riverside,1217.43,10,low
Him Lam Riverside,"36A, Đường 81,",1217.43,10,medium
Công viên Mỹ Kim,호치민 지구촌 교회,1217.86,10,medium
호치민 지구촌 교회,Công viên Mỹ Kim,1217.86,10,low
"803/23/10 Huỳnh Tấn Phát,","Hẻm 43B/2  Võ Thị Nhờ, phường Tân Thuận Đông, Q7,",1218.28,10,low
"Hẻm 43B/2  Võ Thị Nhờ, phường Tân Thuận Đông, Q7,","803/23/10 Huỳnh Tấn Phát,",1218.28,10,low
À La Main,Đầu bến Tân Quy,1218.87,10,medium
Đầu bến Tân Quy,À La Main,1218.87,10,low
Nhà Mẫu Phú Mỹ Hưng,Trường Tiểu học Lê Anh Xuân,1219.04,10,low
Trường Tiểu học Lê Anh Xuân,Nhà Mẫu Phú Mỹ Hưng,1219.04,10,medium
Nguyễn Thị Thập,Quận 7,1219.15,10,high
Quận 7,Nguyễn Thị Thập,1219.15,10,low
"78B đường số 43, khu phố 4",Phan Huy Thục,1219.4,10,low
Phan Huy Thục,"78B đường số 43, khu phố 4",1219.4,10,medium
WinMart+,Katinat,1222.25,10,low
Katinat,WinMart+,1222.25,10,low
"163 đường 45,",Sunrise Cityview - Sảnh A,1223.22,10,medium
Sunrise Cityview - Sảnh A,"163 đường 45,",1223.22,10,medium
"Chung cư River panorama số 26 đường lê thị chợ, Quận 7,",Mỹ Khang,1223.94,10,low
Mỹ Khang,"Chung cư River panorama số 26 đường lê thị chợ, Quận 7,",1223.94,10,high
Chè Thiên Đường,Đại Lý Sơn Nuớc Trường Đạt,1224.7,10,low
Đại Lý Sơn Nuớc Trường Đạt,Chè Thiên Đường,1224.7,10,medium
McDonald's,"15 Nguyen Cao,",1225.19,10,low
"15 Nguyen Cao,",McDonald's,1225.19,10,high
"36A, Đường 81,","Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",1226.15,10,low
"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,","36A, Đường 81,",1226.15,10,low
Siêu Thị K-Market,Đại học Cảnh sát,1226.53,10,medium
Đại học Cảnh sát,Siêu Thị K-Market,1226.53,10,medium
Bệnh viện Quận 7,2/2 Đường Số 79,1227.2,10,medium
2/2 Đường Số 79,Bệnh viện Quận 7,1227.2,10,high
Mai Văn Vĩnh,An Vegetarian,1227.66,10,high
An Vegetarian,Mai Văn Vĩnh,1227.66,10,medium
"block e, khu chung cư himlam riverside, phường tân hưng, quận 7, phường tân hưng, quận 7, thành phố hồ chí minh,","20/10 đường số 2,",1228.54,10,medium
"20/10 đường số 2,","block e, khu chung cư himlam riverside, phường tân hưng, quận 7, phường tân hưng, quận 7, thành phố hồ chí minh,",1228.54,10,low
Thiên Sơn Plaza,불막열삼,1228.96,10,low
불막열삼,Thiên Sơn Plaza,1228.96,10,low
"487/23 huỳnh tấn phát, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",803/23/10 Huỳnh Tấn Phát,1230.31,10,low
803/23/10 Huỳnh Tấn Phát,"487/23 huỳnh tấn phát, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",1230.31,10,low
Chợ Cư xá Ngân hàng,"20/10 đường số 2,",1230.55,10,low
"20/10 đường số 2,",Chợ Cư xá Ngân hàng,1230.55,10,low
Đại học Cảnh sát,Hà Huy Tập,1230.86,10,medium
Hà Huy Tập,Đại học Cảnh sát,1230.86,10,low
"15-27-Block M2-Sảnh B, Jamona City, Đào Trí,",Nhà Thuốc Thái Thanh,1231.46,10,low
Nhà Thuốc Thái Thanh,"15-27-Block M2-Sảnh B, Jamona City, Đào Trí,",1231.46,10,low
Hỷ Lạc Bánh Mì Chay,불막열삼,1232.72,10,low
불막열삼,Hỷ Lạc Bánh Mì Chay,1232.72,10,low
Nguyễn Văn Linh,2/2 Đường Số 79,1233.75,10,low
2/2 Đường Số 79,Nguyễn Văn Linh,1233.75,10,low
"487/23 huỳnh tấn phát, phường tân thuận Đông, quận 7, thành phố hồ chí minh,","803/23/10 Huỳnh Tấn Phát,",1234.04,10,low
"803/23/10 Huỳnh Tấn Phát,","487/23 huỳnh tấn phát, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",1234.04,10,medium
"36A, Đường 81,","15 Nguyen Cao,",1234.32,10,low
"15 Nguyen Cao,","36A, Đường 81,",1234.32,10,medium
"15-27-Block M2-Sảnh B, Jamona City, Đào Trí,","9/1 trần trọng cung, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",1235.34,10,high
"9/1 trần trọng cung, phường tân thuận Đông, quận 7, thành phố hồ chí minh,","15-27-Block M2-Sảnh B, Jamona City, Đào Trí,",1235.34,10,medium
Circle K,Nhà Thuốc Thái Thanh,1235.36,10,medium
Nhà Thuốc Thái Thanh,Circle K,1235.36,10,low
"36A, Đường 81,",E50 Đường Số 9 Khu Dân Cư Him Lam,1235.4,10,low
E50 Đường Số 9 Khu Dân Cư Him Lam,"36A, Đường 81,",1235.4,10,low
British English Club,43 Đường Số 43,1235.9,10,high
43 Đường Số 43,British English Club,1235.9,10,medium
Tạp Hoá Ngọc Hân,"Toà nhà FPT đường số 8,",1237.95,10,low
"Toà nhà FPT đường số 8,",Tạp Hoá Ngọc Hân,1237.95,10,low
Bia Góc,Sunrise Cityview - Sảnh A,1238.59,10,low
Sunrise Cityview - Sảnh A,Bia Góc,1238.59,10,high
Bia Góc,Nguyễn Thị Thập,1238.69,10,medium
Nguyễn Thị Thập,Bia Góc,1238.69,10,medium
McDonald's,"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",1238.97,10,high
"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",McDonald's,1238.97,10,medium
Mai Văn Vĩnh,Quán Ăn An Ký,1241.48,10,medium
Quán Ăn An Ký,Mai Văn Vĩnh,1241.48,10,low
"36A, Đường 81,",Trung Tâm Mua Sắm Vivo City,1241.69,10,medium
Trung Tâm Mua Sắm Vivo City,"36A, Đường 81,",1241.69,10,low
"15-27-Block M2-Sảnh B, Jamona City, Đào Trí,","Hẻm 43B/2  Võ Thị Nhờ, phường Tân Thuận Đông, Q7,",1242.18,10,low
"Hẻm 43B/2  Võ Thị Nhờ, phường Tân Thuận Đông, Q7,","15-27-Block M2-Sảnh B, Jamona City, Đào Trí,",1242.18,10,medium
WinMart+,Trung Tâm Mua Sắm Vivo City,1242.92,10,high
Trung Tâm Mua Sắm Vivo City,WinMart+,1242.92,10,medium
Đại Lý Sơn Nuớc Trường Đạt,"78B đường số 43, khu phố 4",1244.74,10,high
"78B đường số 43, khu phố 4",Đại Lý Sơn Nuớc Trường Đạt,1244.74,10,low
"20/10 đường số 2,","170A Lâm Văn Bền, KP4,",1245.84,10,medium
"170A Lâm Văn Bền, KP4,","20/10 đường số 2,",1245.84,10,medium
"26 đường số 10 kdc nam long, phường tân thuận Đông, quận 7, thành phố hồ chí minh,","Tòa Nhà Xưởng B,",1247.3,10,low
"Tòa Nhà Xưởng B,","26 đường số 10 kdc nam long, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",1247.3,10,low
Boutique Charmés,불막열삼,1247.85,10,low
불막열삼,Boutique Charmés,1247.85,10,high
803/23/10 Huỳnh Tấn Phát,Tạp Hoá Ngọc Hân,1248.34,10,low
Tạp Hoá Ngọc Hân,803/23/10 Huỳnh Tấn Phát,1248.34,10,medium
"55a lê văn lương khu phố 1 phường tân phong quận 7, phường tân phong, quận 7, thành phố hồ chí minh,",Nhà Thuốc An Khang,1248.53,10,medium
Nhà Thuốc An Khang,"55a lê văn lương khu phố 1 phường tân phong quận 7, phường tân phong, quận 7, thành phố hồ chí minh,",1248.53,10,low
E50 Đường Số 9 Khu Dân Cư Him Lam,Phan Huy Thục,1249.62,10,high
Phan Huy Thục,E50 Đường Số 9 Khu Dân Cư Him Lam,1249.62,10,low
Bệnh viện Quận 7,"78B đường số 43, khu phố 4",1250.37,10,low
"78B đường số 43, khu phố 4",Bệnh viện Quận 7,1250.37,10,high
"803/23/10 Huỳnh Tấn Phát,",Tạp Hoá Ngọc Hân,1252.08,10,high
Tạp Hoá Ngọc Hân,"803/23/10 Huỳnh Tấn Phát,",1252.08,10,medium
"toà a1, chung cư q7 riverside complex, 04 Đào trí, phường phú thuận, quận 7, thành phố hồ chí minh,",Khu phức hợp La Casa,1253.25,10,medium
Khu phức hợp La Casa,"toà a1, chung cư q7 riverside complex, 04 Đào trí, phường phú thuận, quận 7, thành phố hồ chí minh,",1253.25,10,low
Đại Lý Sơn Nuớc Trường Đạt,"1489 Nguyễn Văn Linh, Tòa IPC",1253.73,10,high
"1489 Nguyễn Văn Linh, Tòa IPC",Đại Lý Sơn Nuớc Trường Đạt,1253.73,10,medium
"block e, khu chung cư himlam riverside, phường tân hưng, quận 7, phường tân hưng, quận 7, thành phố hồ chí minh,",Phan Huy Thục,1253.75,10,low
Phan Huy Thục,"block e, khu chung cư himlam riverside, phường tân hưng, quận 7, phường tân hưng, quận 7, thành phố hồ chí minh,",1253.75,10,low
Mỹ Khang,Khu phức hợp La Casa,1254.57,10,medium
Khu phức hợp La Casa,Mỹ Khang,1254.57,10,low
À La Main,Thiên Sơn Plaza,1255.0,10,low
Thiên Sơn Plaza,À La Main,1255.0,10,high
Parkson,Quán Ăn An Ký,1255.93,10,medium
Quán Ăn An Ký,Parkson,1255.93,10,medium
Đầu bến Tân Quy,"170A Lâm Văn Bền, KP4,",1260.52,10,medium
"170A Lâm Văn Bền, KP4,",Đầu bến Tân Quy,1260.52,10,low
Tịnh xá Ngọc Quy,"36A, Đường 81,",1261.36,10,low
"36A, Đường 81,",Tịnh xá Ngọc Quy,1261.36,10,medium
Hỷ Lạc Bánh Mì Chay,Nguyễn Văn Linh,1261.66,10,high
Nguyễn Văn Linh,Hỷ Lạc Bánh Mì Chay,1261.66,10,high
McDonald's,Nhà Thuốc Thái Thanh,1262.99,10,low
Nhà Thuốc Thái Thanh,McDonald's,1262.99,10,low
Mai Văn Vĩnh,Katinat,1263.77,10,low
Katinat,Mai Văn Vĩnh,1263.77,10,low
Thiên Sơn Plaza,Siêu Thị K-Market,1264.15,10,low
Siêu Thị K-Market,Thiên Sơn Plaza,1264.15,10,low
"163 đường 45,","Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",1265.13,10,medium
"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,","163 đường 45,",1265.13,10,low
Khu phức hợp La Casa,Khu dân cư Kỷ Nguyên,1265.73,10,low
Khu dân cư Kỷ Nguyên,Khu phức hợp La Casa,1265.73,10,high
43 Đường Số 43,Đầu bến Tân Quy,1266.09,10,high
Đầu bến Tân Quy,43 Đường Số 43,1266.09,10,medium
"163 đường 45,","15 Nguyen Cao,",1266.57,10,low
"15 Nguyen Cao,","163 đường 45,",1266.57,10,high
Parkson,Cửa hàng Chuồn chuồn Đỏ,1266.96,10,low
Cửa hàng Chuồn chuồn Đỏ,Parkson,1266.96,10,low
Quán Cơm Tâm Mộc,Thiên Sơn Plaza,1266.99,10,low
Thiên Sơn Plaza,Quán Cơm Tâm Mộc,1266.99,10,low
Sunrise Cityview - Sảnh A,Đầu bến Tân Quy,1267.13,10,low
Đầu bến Tân Quy,Sunrise Cityview - Sảnh A,1267.13,10,medium
"Chung cư mỹ cảnh, đường Phạm Thái Bường,","55a lê văn lương khu phố 1 phường tân phong quận 7, phường tân phong, quận 7, thành phố hồ chí minh,",1267.84,10,low
"55a lê văn lương khu phố 1 phường tân phong quận 7, phường tân phong, quận 7, thành phố hồ chí minh,","Chung cư mỹ cảnh, đường Phạm Thái Bường,",1267.84,10,medium
WinMart+,Quán Ăn An Ký,1268.06,10,high
Quán Ăn An Ký,WinMart+,1268.06,10,high
"55a lê văn lương khu phố 1 phường tân phong quận 7, phường tân phong, quận 7, thành phố hồ chí minh,",호치민 지구촌 교회,1268.39,10,medium
호치민 지구촌 교회,"55a lê văn lương khu phố 1 phường tân phong quận 7, phường tân phong, quận 7, thành phố hồ chí minh,",1268.39,10,low
Cầu Kênh Tẻ,Cà Phê Long Béo,1269.03,10,low
Cà Phê Long Béo,Cầu Kênh Tẻ,1269.03,10,low
À La Main,"55a lê văn lương khu phố 1 phường tân phong quận 7, phường tân phong, quận 7, thành phố hồ chí minh,",1269.14,10,low
"55a lê văn lương khu phố 1 phường tân phong quận 7, phường tân phong, quận 7, thành phố hồ chí minh,",À La Main,1269.14,10,medium
"67 Mai Văn Vĩnh,",An Vegetarian,1272.59,10,medium
An Vegetarian,"67 Mai Văn Vĩnh,",1272.59,10,low
"78B đường số 43, khu phố 4",Katinat Nguyễn Thị Thập,1272.89,10,low
Katinat Nguyễn Thị Thập,"78B đường số 43, khu phố 4",1272.89,10,low
Nhà Mẫu Phú Mỹ Hưng,Hỷ Lạc Bánh Mì Chay,1273.02,10,high
Hỷ Lạc Bánh Mì Chay,Nhà Mẫu Phú Mỹ Hưng,1273.02,10,medium
Hỷ Lạc Bánh Mì Chay,호치민 지구촌 교회,1273.1,10,low
호치민 지구촌 교회,Hỷ Lạc Bánh Mì Chay,1273.1,10,medium
"803/23/10 Huỳnh Tấn Phát,",Parkson,1274.71,10,medium
Parkson,"803/23/10 Huỳnh Tấn Phát,",1274.71,10,low
"487/23 huỳnh tấn phát, phường tân thuận Đông, quận 7, thành phố hồ chí minh,","KC 52/13 HUYNH TAN PHAT KP3,",1274.74,10,low
"KC 52/13 HUYNH TAN PHAT KP3,","487/23 huỳnh tấn phát, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",1274.74,10,low
Đại học Cảnh sát,Quán Rắn Hương Phù Sa,1275.05,10,low
Quán Rắn Hương Phù Sa,Đại học Cảnh sát,1275.05,10,low
Parkson,803/23/10 Huỳnh Tấn Phát,1276.09,10,medium
803/23/10 Huỳnh Tấn Phát,Parkson,1276.09,10,medium
Mai Văn Vĩnh,"20/10 đường số 2,",1278.21,10,low
"20/10 đường số 2,",Mai Văn Vĩnh,1278.21,10,medium
Đầu bến Tân Quy,"20/10 đường số 2,",1278.3,10,medium
"20/10 đường số 2,",Đầu bến Tân Quy,1278.3,10,medium
Bệnh viện Quận 7,2/2 Đường Số 79,1279.55,10,low
2/2 Đường Số 79,Bệnh viện Quận 7,1279.55,10,low
Parkson,Quận 7,1279.83,10,low
Quận 7,Parkson,1279.83,10,medium
Mỹ Khang,"Chung cư River Panorama (tháp 2) đường Lê Thị Chợ,",1280.74,10,medium
"Chung cư River Panorama (tháp 2) đường Lê Thị Chợ,",Mỹ Khang,1280.74,10,high
Hỷ Lạc Bánh Mì Chay,Si Cafe,1281.54,10,medium
Si Cafe,Hỷ Lạc Bánh Mì Chay,1281.54,10,low
645/51E Đ. Trần Xuân Soạn,Katinat Nguyễn Thị Thập,1282.17,10,low
Katinat Nguyễn Thị Thập,645/51E Đ. Trần Xuân Soạn,1282.17,10,low
Tịnh xá Ngọc Quy,"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",1284.07,10,low
"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",Tịnh xá Ngọc Quy,1284.07,10,low
Thiên Sơn Plaza,Cửa hàng Chuồn chuồn Đỏ,1284.55,10,medium
Cửa hàng Chuồn chuồn Đỏ,Thiên Sơn Plaza,1284.55,10,low
Thiên Sơn Plaza,Hà Huy Tập,1284.98,10,medium
Hà Huy Tập,Thiên Sơn Plaza,1284.98,10,low
"15-27-Block M2-Sảnh B, Jamona City, Đào Trí,","487/23 huỳnh tấn phát, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",1285.76,10,low
"487/23 huỳnh tấn phát, phường tân thuận Đông, quận 7, thành phố hồ chí minh,","15-27-Block M2-Sảnh B, Jamona City, Đào Trí,",1285.76,10,medium
"55a lê văn lương khu phố 1 phường tân phong quận 7, phường tân phong, quận 7, thành phố hồ chí minh,",Si Cafe,1285.93,10,low
Si Cafe,"55a lê văn lương khu phố 1 phường tân phong quận 7, phường tân phong, quận 7, thành phố hồ chí minh,",1285.93,10,high
"67 Mai Văn Vĩnh,","20/10 đường số 2,",1287.44,10,high
"20/10 đường số 2,","67 Mai Văn Vĩnh,",1287.44,10,medium
"26 đường số 10 kdc nam long, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",Bệnh viện Quận 7,1287.89,10,medium
Bệnh viện Quận 7,"26 đường số 10 kdc nam long, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",1287.89,10,low
Nguyễn Văn Linh,Katinat Nguyễn Thị Thập,1288.09,10,low
Katinat Nguyễn Thị Thập,Nguyễn Văn Linh,1288.09,10,medium
43 Đường Số 43,Thiên Sơn Plaza,1289.68,10,low
Thiên Sơn Plaza,43 Đường Số 43,1289.68,10,low
Chợ Cư xá Ngân hàng,Phan Huy Thục,1290.83,10,low
Phan Huy Thục,Chợ Cư xá Ngân hàng,1290.83,10,high
Nguyễn Thị Thập,Cà Phê Long Béo,1292.25,10,high
Cà Phê Long Béo,Nguyễn Thị Thập,1292.25,10,low
Mai Văn Vĩnh,Si Cafe,1293.06,10,high
Si Cafe,Mai Văn Vĩnh,1293.06,10,medium
Nguyễn Thị Thập,541 Huỳnh Tấn Phát,1293.34,10,low
541 Huỳnh Tấn Phát,Nguyễn Thị Thập,1293.34,10,low
"67 Mai Văn Vĩnh,",Quán Ăn An Ký,1294.39,10,medium
Quán Ăn An Ký,"67 Mai Văn Vĩnh,",1294.39,10,low
McDonald's,An Vegetarian,1294.6,10,high
An Vegetarian,McDonald's,1294.6,10,medium
Quán Cơm Tâm Mộc,WinMart+,1295.14,10,medium
WinMart+,Quán Cơm Tâm Mộc,1295.14,10,low
"26 đường số 10 kdc nam long, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",Bệnh viện Quận 7,1296.71,10,high
Bệnh viện Quận 7,"26 đường số 10 kdc nam long, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",1296.71,10,low
"Chung cư mỹ cảnh, đường Phạm Thái Bường,",Đại học Cảnh sát,1296.98,10,low
Đại học Cảnh sát,"Chung cư mỹ cảnh, đường Phạm Thái Bường,",1296.98,10,low
"Chung cư mỹ cảnh, đường Phạm Thái Bường,",Hỷ Lạc Bánh Mì Chay,1297.01,10,low
Hỷ Lạc Bánh Mì Chay,"Chung cư mỹ cảnh, đường Phạm Thái Bường,",1297.01,10,medium
Tịnh xá Ngọc Quy,"15 Nguyen Cao,",1297.81,10,medium
"15 Nguyen Cao,",Tịnh xá Ngọc Quy,1297.81,10,low
WinMart+,Si Cafe,1298.33,10,high
Si Cafe,WinMart+,1298.33,10,low
"1041/62/10 Trần Xuân Soạn,",Phan Huy Thục,1298.86,10,low
Phan Huy Thục,"1041/62/10 Trần Xuân Soạn,",1298.86,10,high
Bia Góc,"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",1298.88,10,high
"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",Bia Góc,1298.88,10,low
Bia Góc,À La Main,1300.25,10,low
À La Main,Bia Góc,1300.25,10,medium
Chè Thiên Đường,Katinat Nguyễn Thị Thập,1300.8,10,medium
Katinat Nguyễn Thị Thập,Chè Thiên Đường,1300.8,10,high
"Chung cư mỹ cảnh, đường Phạm Thái Bường,",WinMart+,1301.35,10,low
WinMart+,"Chung cư mỹ cảnh, đường Phạm Thái Bường,",1301.35,10,low
Hỷ Lạc Bánh Mì Chay,Đầu bến Tân Quy,1301.49,10,low
Đầu bến Tân Quy,Hỷ Lạc Bánh Mì Chay,1301.49,10,medium
Mai Văn Vĩnh,"Chung cư mỹ cảnh, đường Phạm Thái Bường,",1302.06,10,low
"Chung cư mỹ cảnh, đường Phạm Thái Bường,",Mai Văn Vĩnh,1302.06,10,low
Bia Góc,Cầu Kênh Tẻ,1303.02,10,low
Cầu Kênh Tẻ,Bia Góc,1303.02,10,low
"36A, Đường 81,","block e, khu chung cư himlam riverside, phường tân hưng, quận 7, phường tân hưng, quận 7, thành phố hồ chí minh,",1303.3,10,high
"block e, khu chung cư himlam riverside, phường tân hưng, quận 7, phường tân hưng, quận 7, thành phố hồ chí minh,","36A, Đường 81,",1303.3,10,medium
"15-27-Block M2-Sảnh B, Jamona City, Đào Trí,","toà a1, chung cư q7 riverside complex, 04 Đào trí, phường phú thuận, quận 7, thành phố hồ chí minh,",1304.52,10,low
"toà a1, chung cư q7 riverside complex, 04 Đào trí, phường phú thuận, quận 7, thành phố hồ chí minh,","15-27-Block M2-Sảnh B, Jamona City, Đào Trí,",1304.52,10,medium
Boutique Charmés,Hương Sen Spa,1305.05,10,medium
Hương Sen Spa,Boutique Charmés,1305.05,10,medium
"15 Nguyen Cao,","170A Lâm Văn Bền, KP4,",1305.6,10,low
"170A Lâm Văn Bền, KP4,","15 Nguyen Cao,",1305.6,10,low
Thiên Sơn Plaza,Hương Sen Spa,1306.21,10,medium
Hương Sen Spa,Thiên Sơn Plaza,1306.21,10,medium
Chợ Cư xá Ngân hàng,WinMart+,1306.49,10,medium
WinMart+,Chợ Cư xá Ngân hàng,1306.49,10,medium
"170A Lâm Văn Bền, KP4,","Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",1308.5,10,medium
"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,","170A Lâm Văn Bền, KP4,",1308.5,10,low
Đại học Cảnh sát,Si Cafe,1309.44,10,medium
Si Cafe,Đại học Cảnh sát,1309.44,10,medium
Chè Thiên Đường,"55a lê văn lương khu phố 1 phường tân phong quận 7, phường tân phong, quận 7, thành phố hồ chí minh,",1309.63,10,medium
"55a lê văn lương khu phố 1 phường tân phong quận 7, phường tân phong, quận 7, thành phố hồ chí minh,",Chè Thiên Đường,1309.63,10,high
"803/23/10 Huỳnh Tấn Phát,",Mầm non Ban Mai,1309.84,10,low
Mầm non Ban Mai,"803/23/10 Huỳnh Tấn Phát,",1309.84,10,low
"Chung cư River panorama số 26 đường lê thị chợ, Quận 7,",Khu dân cư Kỷ Nguyên,1311.21,10,medium
Khu dân cư Kỷ Nguyên,"Chung cư River panorama số 26 đường lê thị chợ, Quận 7,",1311.21,10,high
Cà Phê Long Béo,"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",1312.51,10,low
"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",Cà Phê Long Béo,1312.51,10,low
803/23/10 Huỳnh Tấn Phát,Mầm non Ban Mai,1313.53,10,medium
Mầm non Ban Mai,803/23/10 Huỳnh Tấn Phát,1313.53,10,low
Mai Văn Vĩnh,Boutique Charmés,1315.71,10,high
Boutique Charmés,Mai Văn Vĩnh,1315.71,10,low
호치민 지구촌 교회,"78B đường số 43, khu phố 4",1315.8,10,medium
"78B đường số 43, khu phố 4",호치민 지구촌 교회,1315.8,10,low
"1489 Nguyễn Văn Linh, Tòa IPC",Katinat Nguyễn Thị Thập,1316.1,10,low
Katinat Nguyễn Thị Thập,"1489 Nguyễn Văn Linh, Tòa IPC",1316.1,10,medium
Trung Tâm Mua Sắm Vivo City,"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",1317.26,10,medium
"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",Trung Tâm Mua Sắm Vivo City,1317.26,10,medium
"26 đường số 10 kdc nam long, phường tân thuận Đông, quận 7, thành phố hồ chí minh,","Toà nhà FPT đường số 8,",1317.33,10,high
"Toà nhà FPT đường số 8,","26 đường số 10 kdc nam long, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",1317.33,10,medium
"Hẻm 43B/2  Võ Thị Nhờ, phường Tân Thuận Đông, Q7,","KC 52/13 HUYNH TAN PHAT KP3,",1317.75,10,low
"KC 52/13 HUYNH TAN PHAT KP3,","Hẻm 43B/2  Võ Thị Nhờ, phường Tân Thuận Đông, Q7,",1317.75,10,high
호치민 지구촌 교회,Trường Quốc tế Nam Sài Gòn,1317.96,10,low
Trường Quốc tế Nam Sài Gòn,호치민 지구촌 교회,1317.96,10,medium
Cà Phê Long Béo,À La Main,1320.29,10,low
